TICKER,NAME,LEI,CIK,LATEST_FILING_DATE
3DM1,DelMar Pharmaceuticals Inc,,0001498382,2018-05-15
3F6A,"FUQI INTERNATIONAL, INC.",,0001382696,2009-11-09
3FN,Future Now Group Inc.,,0001370555,2010-05-24
3IQ1,"EnergySolutions, Inc.",,0001393744,2014-05-15
3KJ,Minerals Mining CORP,,0000887531,
3LW,WINNER MEDICAL GROUP INC,,0000808011,
3SG,"ShengdaTech, Inc.",,0001160165,2010-11-08
4124016Q,Sutherland Asset Management Corp,,0001456906,
4197,SIME DARBY BERHAD/FI                                    /FI,,0001091632,
43C,Cardtronics PLC,,0001671013,2018-08-02
43T,Tabula Rasa HealthCare Inc,,0001651561,2018-08-08
4IH,Ichor Holdings Ltd,,0001652535,2018-08-08
500112,STATE BANK OF INDIA/                                    /FI,,0001036627,
500124,Dr.Reddy's Laboratories Ltd,,0001135951,
500180,HDFC Bank Ltd,335800ZQ6I4E2JXENC50,0001144967,
500209,Infosys Ltd,,0001067491,
500294,NCC Ltd,,0001447392,
500295,Vedanta Ltd,,0001370431,
500300,GRASIM INDUSTRIES LTD                                   /FI,,0000902107,
500325,RELIANCE INDUSTRIES LTD                                 /FI,,0000894648,
500390,RELIANCE INFRASTRUCTURE,,0001374076,
500400,TATA POWER CO LTD                                       /FI,,0000919986,
500440,Hindalco Industries Ltd,,0000896065,
500470,Tata Steel Ltd,,0001455919,
500483,TATA COMMUNICATIONS LTD,,0001116134,
500510,LARSEN & TOUBRO LTD                                     /FI,,0000936063,
500875,ITC LTD                                                 /FI,,0000908830,
507685,Wipro Ltd,,0001123799,
508869,APOLLO HOSPITALS ENTERPRISE LTD,,0001332102,
532174,ICICI Bank Ltd,R7RX8ER1V4666J8D1I38,0001103838,
532538,UltraTech Cement Ltd,,0001496190,
532712,RELIANCE COMMUNICATIONS LTD,,0001373124,
5347,TENAGA NASIONAL BERHAD/FI,,0000928354,
570001,Tata Motors Ltd,,0000926042,
600028,China Petroleum & Chemical Corp,,0001123658,
600115,China Eastern Airlines Corp Ltd,,0001030475,
600688,Sinopec Shanghai Petrochemical Co Ltd,,0000908732,
601600,Aluminum Corp of China Ltd,,0001161611,
601628,China Life Insurance Co Ltd,549300J6TFLDXGH6S048,0001268896,
601857,PetroChina Co Ltd,,0001108329,
601988,Bank of China Ltd,,0001378999,
61C1,CHC Group Ltd ,,0001586300,2016-12-14
65940,Nidec Corp,,0001158967,
67580,Sony Corp,,0000313838,
68570,Advantest Corp,,0001158838,
69710,Kyocera Corp,,0000057083,
71M,Myovant Sciences Ltd,,0001679082,2018-08-07
72030,Toyota Motor Corp,,0001094517,
72670,Honda Motor Co Ltd,549300P7ZYCQJ36CCS16,0000715153,
77510,Canon Inc,,0000016988,
7S3,"SINOHUB, INC.",,0001406574,2012-05-15
80580,Mitsubishi Corp,,0000877197,
8150,CHIPMOS TECHNOLOGIES INC,,0001123134,
83030,SHINSEI BANK LTD,,0001281661,
83040,"AOZORA BANK, LTD.",,0001568541,
83060,Mitsubishi UFJ Financial Group Inc,,0000067088,
83160,Sumitomo Mitsui Financial Group Inc,,0001022837,
84110,Mizuho Financial Group Inc,,0001335730,
85640,TAKEFUJI CORP                                           /FI,,0001050520,
85910,Orix Corp,,0001070304,
86040,Nomura Holdings Inc,549300B3CEAHYG7K8164,0001163653,
87500,"Dai-ichi Life Holdings, Inc.",,0000948518,
8BF,Bona Film Group Ltd ,,0001504796,
8LN,Loma Negra Compania Industrial Argentina SA,,0001711375,
92020,ANA Holdings Inc/ADR,,0000812588,
94320,Nippon Telegraph and Telephone Corp,,0000769594,
94370,NTT Docomo Inc,,0001166141,
97660,Konami Holdings Corp,,0001191141,
9CN,V Media Corp,,0001080627,2015-03-23
A,Agilent Technologies Inc,QUIX8Y7A2WP0XRMW7G29,0001090872,2018-08-30
A,ABITIBI CONSOLIDATED INC,,0001039778,
A112JK,"Aberdeen Japan Equity Fund, Inc.",,0000866095,
AA,Alcoa Corp,ABPN11VOHLHX6QR7XQ48,0001675149,2018-08-02
AAAG,VINYL PRODUCTS INC,,0001451947,
AAAP,Advanced Accelerator Applications SA,,,
AAAU,Perth Mint Physical Gold ETF,,0001708646,
AABA,Altaba Inc,549300ZJC0V1K2ZCKG85,0001011006,2017-05-09
AABB,Dong Fang Hui Le Holdings Group Inc,,0001287145,
AAC,AAC Holdings Inc,549300DGB1REPZB88Q89,0001606180,2018-08-03
AACC,ASSET ACCEPTANCE CAPITAL CORP,,0001264707,2013-04-29
AACPF,Australia Acquisition Corp,,0001499593,
AACS,American Commerce Solutions Inc,,0000949982,2016-06-15
AADG,ASIAN DRAGON GROUP INC.,,0001314259,2011-07-20
AADI,"AMERICAN ASSET DEVELOPMENT, INC.",,0001076886,2011-03-24
AAGC,All American Gold Corp,,0001409430,2013-08-06
AAGH,America Great Health,,0001098009,2018-05-21
AAGH,ASIA GLOBAL HOLDINGS CORP.,,0001171689,2011-08-15
AAGIY,AIA Group Ltd,,0001511634,
AAI,AIRTRAN HOLDINGS INC,,0000948846,2011-04-29
AAIIQ,"ALABAMA AIRCRAFT INDUSTRIES, INC",,0000771729,2009-03-31
AAIR,Avantair Inc,,0001303849,2013-06-13
AAL,American Airlines Group Inc,,0000006201,2018-07-26
AAMC,Altisource Asset Management Corp,,0001555074,2018-08-09
AAME,Atlantic American Corp,,0000008177,2018-08-14
AAMS,HEALTHCARE PROVIDERS DIRECT INC.,,0001305748,2008-11-19
AAMUQ,AMERICAN AMMUNITION INC/FL,,0001123648,
AAN,Aaron's Inc,,0000706688,2018-07-26
AAOI,Applied Optoelectronics Inc,,0001158114,2018-08-08
AAON,AAON Inc,,0000824142,2018-08-02
AAP,Advance Auto Parts Inc,,0001158449,2018-08-14
AAPCF,Atlantic Alliance Partnership Corp,,0001630940,2018-08-08
AAPH,American Petro-Hunter Inc,,0001040482,2014-04-30
AAPL,Apple Inc,HWUPKR0MPOU8FGXBT394,0000320193,2018-08-01
AAPT,All American Pet Co Inc,,0001362502,2014-03-14
AARS,Asia Atlantic Resources,,0001411058,2014-03-18
AASL,America's Suppliers Inc,,0001002390,2014-08-11
AASP,All-American Sportpark Inc,,0000930245,2018-08-14
AAST,Allied American Steel Corp,,0001404212,2013-08-19
AAT,American Assets Trust Inc,,0001500217,2018-08-03
AATV,Adaptive Ad Systems Inc,,0001131251,
AAUI,Andina Group Inc.,,0001419260,2011-05-16
AAV,Advantage Oil & Gas Ltd,,0001468079,
AAV,Advantage Oil & Gas Ltd,,0001259995,
AAWC,Alexandria Advantage Warranty Co,,0001165758,
AAWW,Atlas Air Worldwide Holdings Inc,,0001135185,2018-08-02
AAXN,Axon Enterprise Inc,,0001069183,2018-08-09
AAXT,"Aamaxan Transport Group, Inc.",,0001358940,2008-08-19
AB,AllianceBernstein Holding LP,,0000825313,2018-07-26
ABAC,Renmin Tianli Group Inc,,0001486299,2018-08-20
ABAT,"ADVANCED BATTERY TECHNOLOGIES, INC.",,0000745651,2011-08-15
ABAX,Abaxis Inc,,0000881890,2018-05-30
ABBB,Auburn Bancorp Inc,,0001428802,2012-02-13
ABBN,ABB Ltd,5493000LKVGOO9PELI61,0001091587,
ABBV,AbbVie Inc,FR5LCKFTG8054YNNRU85,0001551152,2018-08-07
ABBY,Abby Inc,,0001478535,2013-10-18
ABC,AmerisourceBergen Corp,AI8GXW8LG5WK7E9UD086,0001140859,2018-08-02
ABCB,Ameris Bancorp,PBJHNT51T5V6G5UQFV42,0000351569,2018-08-09
ABCD,Cambium Learning Group Inc,,0001466815,2018-08-13
ABCE,ABCO Energy Inc,,0001300938,2018-08-22
ABCO,Advisory Board Co,549300IDOPVLNF25KU43,0001157377,2017-11-08
ABCP,AmBase Corp,,0000020639,2018-08-13
ABCR,ABC Records Management & Data Storage Inc.,,0001528234,2013-08-08
ABCW,Anchor BanCorp Wisconsin Inc ,,0000885322,2016-03-11
ABDC,Alcentra Capital Corp,549300HZBY88PCH8IZ78,0001578620,2018-08-07
ABDR,AMBASSADOR FOOD SERVICES CORP,,0000008734,
ABE,"Aberdeen Emerging Markets Smaller Company Opportunities Fund, Inc",,,
ABEC,Analytica Bio - Energy Corp,,0001326853,2014-10-20
ABENU,"Advanced BioEnergy, LLC",,0001325740,2018-08-08
ABEO,Abeona Therapeutics Inc,54930002Z8PIJRCB4576,0000318306,2018-08-09
ABEV,Ambev SA,549300TH5Q6VRP8OT012,0001565025,
ABG,Asbury Automotive Group Inc,549300JH4DTA7U42GL91,0001144980,2018-07-25
ABGB,Abengoa SA ,8ZQH7RR6DBQZIX8PEQ84,0001161785,
ABHD,Abtech Holdings Inc,,0001405858,2018-08-14
ABHI,AmbiCom Holdings Inc,,0001444310,2016-04-04
ABI,Safety First Trust Series 2009-2,,0001449133,
ABI,Anheuser Busch Inbev NV,,0001140467,
ABIL,Ability Inc,,0001652866,
ABIO,ARCA Biopharma Inc,,0000907654,2018-08-09
ABIWF,Cambridge Capital Acquisition Corp,549300XB7A63EF7L3U50,0001588869,2015-11-13
ABIX,ABATIX CORP,,0000845779,2007-08-14
ABKB,"American Basketball Association, Inc.",,0001332044,
ABKH,AMERICAN BANK HOLDINGS INC,,0001213219,
ABKI,Abakan Inc,,0001400000,2015-09-15
ABLE,Able Energy Inc,,0001065728,2008-11-20
ABLT,American Biltrite Inc,,0000004611,2012-03-29
ABLX,Ablynx NV,,0001617582,
ABM,ABM Industries Inc,QF02R89VEIOROM77J447,0000771497,2018-06-07
ABMC,American Bio Medica Corp,,0000896747,2018-08-14
ABMD,Abiomed Inc,5493001EZN4ZTB4Z5887,0000815094,2018-08-02
ABMT,Advanced Biomedical Technologies Inc,,0001385799,2018-06-19
ABNC,AMERICAN BANCORP INC/LA,,0000721238,
ABNS,ALLIANCE BANCSHARES CALIFORNIA,,0001140472,2008-11-20
ABP,Abpro Corp,,0001670356,
ABPI,ACCENTIA BIOPHARMACEUTICALS INC,,0001310094,2013-02-14
ABPR,Airborne Security & Protective Services Inc,,0001486965,
ABQQ,AB INTERNATIONAL GROUP CORP.,,0001605331,2018-07-23
ABR,Arbor Realty Trust Inc,,0001253986,2018-08-03
ABRXQ,ABLE LABORATORIES INC,,0000857171,
ABS,Albertsons Companies Inc,,0000003333,2006-05-31
ABSR,"American Business Services, Inc.",,0001532882,2016-08-22
ABT,Abbott Laboratories,HQD377W2YR662HK5JX27,0000001800,2018-08-01
ABTO,AB&T Financial Corp,,0001435161,2012-05-15
ABTX,Allegiance Bancshares Inc,,0001642081,2018-08-03
ABVA,ALLIANCE BANKSHARES CORP,,0001181001,2012-11-14
ABVC,American BriVision (Holding) Corp,,0001173313,2018-08-20
ABVG,Affinity Beverage Group Inc,,0000007059,
ABVN,"ABV CONSULTING, INC.",,0001607450,2018-08-03
ABWG,AB WATLEY GROUP INC,,0001035632,
ABWN,Airborne Wireless Network,,0001537258,2018-07-10
ABWpRA_,ASBC CAPITAL I,,0001173904,
ABX,Barrick Gold Corp,0O4KBQCJZX82UKGCBV73,0000756894,
ABYB,Amboy Bancorporation,,0001053000,
AC,Associated Capital Group Inc,,0001642122,2018-08-08
ACAD,ACADIA Pharmaceuticals Inc,,0001070494,2018-08-08
ACAN,Americann Inc,,0001508348,2018-08-14
ACARQ,Activecare Inc,,0001429896,2018-01-31
ACAS,American Capital Ltd,IX05XKCONTEBR8CL9Q86,0000817473,2016-11-03
ACAT,Arctic Cat Inc,549300T3W8Y3L9D3CQ28,0000719866,2017-02-06
AC.B,Associated Capital Group Inc,,0001002819,
ACBCQ,Albina Community Bancorp,,0001009908,
ACBD,Strategic Pharma Information Sciences Inc,,0001522962,
ACBI,Atlantic Capital Bancshares Inc,5493005URKIOUNJO6097,0001461755,2018-08-08
ACBM,"ACRO BIOMEDICAL CO., LTD.",,0001622996,2018-08-14
ACC,American Campus Communities Inc,,0001283630,2018-08-03
ACCA,Acacia Diversified Holdings Inc,,0001001463,2018-08-13
ACCE,ACCRES HOLDING INC,,0001158201,2010-11-19
ACCL,"ACCELRYS, INC.",,0001002388,2014-03-10
ACCO,ACCO Brands Corp,JCT8P4Y190IH4I1NX328,0000712034,2018-07-31
ACCP,Abeona Therapeutics Inc,,0001630970,
ACCR,ACCESS POWER INC,,0001041588,2018-07-02
ACCS,AFRICAN COPPER CORP,,0001526185,2013-03-15
ACDU,ACCREDITED BUSINESS CONSOLIDATORS CORP.,,0000933425,2012-11-20
ACEL,"Tamir Biotechnology, Inc.",,0000708717,2013-06-11
ACER,Acer Therapeutics Inc,549300BRA7GF5PCH1L04,0001069308,2018-08-13
ACET,Aceto Corp,7MUSABK5TKG3168JQL21,0000002034,2018-05-07
ACEZ,"Z Holdings Group, Inc.",,0000946283,2012-12-14
ACF,"General Motors Financial Company, Inc.",,0000804269,2018-07-25
ACFC,Atlantic Coast Financial Corp,,0001404296,2018-05-10
ACFL,"AMC Financial Holdings, Inc.",,0001566807,
ACFN,Acorn Energy Inc,,0000880984,2018-08-14
ACG,Alliancebernstein Income Fund Inc,J4DGJCPMXNWU97A1BX15,0000816754,
ACGI,Amacore Group Inc,,0000949394,2010-08-16
ACGJ,ACI Global Corp,,0001352707,
ACGL,Arch Capital Group Ltd,,0000947484,2018-08-08
ACGLP,Arch Capital Group Ltd,,,
ACGX,Alliance Creative Group Inc,,0001212570,2008-11-19
ACHC,Acadia Healthcare Company Inc,5493005CW985Y9D0NC11,0001520697,2018-07-31
ACHI,AMERICHIP INTERNATIONAL INC,,0001132487,
ACHN,Achillion Pharmaceuticals Inc,,0001070336,2018-08-08
ACHV,Achieve Life Sciences Inc,549300V82ZKZDTAU0A46,0000949858,2018-08-08
ACIA,Acacia Communications Inc,,0001651235,2018-08-02
ACIE,ACIES CORP,,0001138462,2010-08-23
ACIU,AC Immune SA,,0001651625,
ACIW,ACI Worldwide Inc,,0000935036,2018-08-02
ACKAY,Arcelik AS,,0001446455,
ACLD,ACQUIRE INTERNATIONAL LLC,,0001178072,
ACLH,ACT Clean Technologies Inc,,0001009802,2008-08-14
ACLP,"ACCEL BRANDS, INC.",,0001077800,2015-05-20
ACLS,Axcelis Technologies Inc,,0001113232,2018-08-03
ACLZ,Accelerize Inc,,0001352952,2018-08-14
ACM,AECOM,0EEB8GF0W0NPCIHZX097,0000868857,2018-08-08
ACMA,ACM Corp,,0001493265,2013-10-15
ACMB,AGRO CAPITAL MANAGEMENT CORP.,,0001598323,2017-09-28
ACMC,American Church Mortgage Co,,0000934543,2018-08-14
ACME,ACME COMMUNICATIONS INC,,0001092013,2008-08-14
ACMM,ACCOM INC,,0000949335,
ACMR,ACM Research Inc,,0001680062,2018-08-09
ACMTA,ACMAT Corp,,0000002062,
ACN,Accenture PLC,,0001467373,2018-06-28
ACNB,ACNB Corp,,0000715579,2018-08-03
ACNE,Alice Cons Mines Inc,,0000003543,
ACNI,American Community Newspapers Inc.,,0001321544,2008-11-06
ACNT,ASCENT ENERGY INC,,0001132415,
ACNV,Accelera Innovations Inc,,0001444144,2017-11-01
ACO,AMCOL INTERNATIONAL CORP,,0000813621,
ACOL,Acology Inc,,0001096950,2018-08-14
ACOM,Ancestry.com Inc.,,0001469433,2012-10-31
ACOR,Acorda Therapeutics Inc,5493007NPB5YRM8QGL53,0001008848,2018-08-08
ACP,Avenue Income Credit Strategies Fund,,,
ACPPQ,Anthracite Capital Inc,,0001050112,2009-11-09
ACPr_,Avenue Income Credit Strategies Fund,,0001503290,
ACPS,"iGlue, Inc.",,0001133116,2015-05-15
ACRB,Asia Carbon Industries Inc,,0001491479,2013-08-14
ACRE,Ares Commercial Real Estate Corp,549300ZNO5IWXS443S81,0001529377,2018-07-26
ACRL,Atacama Resources International Inc,,0001584618,2017-11-20
ACRS,Aclaris Therapeutics Inc,5493000B2LQ9QTW1DF52,0001557746,2018-08-03
ACRT,Advanced Credit Technologies Inc,,0001437517,2018-08-13
ACRX,AcelRx Pharmaceuticals Inc,,0001427925,2018-08-02
ACS,AFFILIATED COMPUTER SERVICES INC,,0000002135,2009-10-22
ACSF,American Capital Senior Floating Ltd,549300BKMXE0NNO0P072,0001581934,2018-08-07
ACST,Acasti Pharma Inc,,0001444192,
ACSX,A.C. Simmonds & Sons,,0001554594,2014-11-19
ACTA,Actua Corp,549300Z58VWYRMOUS305,0001085621,2018-03-30
ACTG,Acacia Research Corp,,0000934549,2018-08-10
ACTI,ACTIVIDENTITY CORP,,0001183941,2010-12-10
ACTL,Artec Global Media Inc,,0001561865,2016-06-20
ACTS,Actions Semiconductor Co Ltd,,0001342068,
ACTT,ACT TELECONFERENCING INC,,0000918709,2007-05-15
ACTV,ACTIVE NETWORK INC,,0001163932,2013-11-05
ACU,Acme United Corp,,0000002098,2018-08-09
ACUR,Acura Pharmaceuticals Inc,549300O2I06DTW1IM738,0000786947,2018-08-14
ACUS,Acusphere Inc,,0001115143,2008-11-10
ACV,AllianzGI Diversified Income & Convertible Fund,,0001636289,
ACW,Accuride Corp,,0000817979,2016-11-01
ACXM,Acxiom Corp,76MIROMHC0FSWDR2G072,0000733269,2018-08-09
ACY,AeroCentury Corp,,0001036848,2018-08-10
ADAC,Adama Technologies Corp,,0001422222,2017-10-25
ADAD,Adaiah Distribution Inc,,0001593204,2018-06-06
ADAM,ADAM INC,,0000863650,2010-11-10
ADAM,Adama Agricultural Solutions Ltd,,0001614469,
ADAP,Adaptimmune Therapeutics PLC,549300UUNWK8TRT5EW12,0001621227,2018-08-02
ADBE,Adobe Systems Inc,FU4LY2G4933NH2E1CP29,0000796343,2018-06-27
ADBN,Americana Distribution Inc,,0001081751,
ADC,Agree Realty Corp,,0000917251,2018-07-23
ADCT,ADC TELECOMMUNICATIONS INC,,0000061478,2010-11-23
ADCV,AD CAPITAL US INC,,0001427211,
ADDC,ADDMASTER CORP,,0000002308,
ADEC,Alternative Energy Development Corp,,0001446885,2010-06-21
ADEH,"Andover Holdings, Inc./FL",,0001126533,2012-05-30
ADEL,ADELPHIA COMMUNICATIONS CORP,,0000796486,2006-11-14
ADEP,Adept Technology Inc ,,0000865415,2015-08-31
ADES,Advanced Emissions Solutions Inc,5493003QMZVVPZYLOM88,0001515156,2018-08-06
ADFI,Asian Development Frontier Inc.,,0001353633,2018-05-21
ADFK,ADMIRAL FINANCIAL CORP,,0000828530,2018-05-08
ADFS,American Defense Systems Inc,,0001260996,2012-11-19
ADFT,ADFITECH Inc,,0001440300,
ADGE,American DG Energy Inc,,0001378706,2017-05-12
ADGL,AllDigital Holdings Inc,,0001389217,2015-11-16
ADGO,Golden Eagle International Inc,,0000869531,2018-08-14
ADGS,ADGS Advisory Inc,,0001439237,2015-02-12
ADGSF,Atlantica Del Golfo,,0000008283,
ADHC,American Diversified Holdings Corp,,0001157814,
ADI,Analog Devices Inc,GYVOE5EZ4GDAVTU4CQ61,0000006281,2018-08-22
ADIA,Adia Nutrition Inc,,0001160420,
ADIL,"ADIAL PHARMACEUTICALS, INC.",,0001513525,
ADIN,Adaptive Insights Inc,,0001278150,
ADK,Adcare Health Systems Inc,,0001004724,2018-08-14
ADKT,Adirondack Trust Co,,0001054257,
ADLI,AMERICAN MEDICAL TECHNOLOGIES INC/DE,,0000874388,2008-11-14
ADLS,Advanced Life Sciences Holdings Inc,,0001322734,2011-03-24
ADLT,ADVANCED LIGHTING TECHNOLOGIES INC,,0001002125,2007-05-15
ADM,Archer Daniels Midland Co,549300LO13MQ9HYSTR83,0000007084,2018-07-31
ADMA,ADMA Biologics Inc,,0001368514,2018-08-10
ADMG,ADAMANT DRI PROCESSING & MINERALS GROUP,,0001171008,2018-06-25
ADMP,Adamis Pharmaceuticals Corp,549300EBMD9JZ2H87I37,0000887247,2018-08-09
ADMS,Adamas Pharmaceuticals Inc,,0001328143,2018-08-02
ADMT,ADM Tronics Unlimited Inc,,0000849401,2018-08-20
ADMV,Adamas Ventures Inc.,,0001600694,2017-06-15
ADNC,Audience Inc ,,0001201663,2015-05-11
ADNT,Adient PLC,,0001670541,2018-07-30
ADNY,Adino Energy Corp,,0000700815,2013-04-19
ADOM,Adomani Inc,,0001563568,2018-08-09
ADON,Adone Media Inc,,0001303791,
ADP,Automatic Data Processing Inc,HGBOLILQXWER4SAL2I23,0000008670,2018-08-03
ADPC,ALLIED PRODUCTS CORP /DE/,,0000003941,
ADPTQ,Adeptus Health Inc,,0001602367,2016-11-09
ADPVQ,ADAPTIVE SOLUTIONS INC,,0000873952,
ADRN,ADARNA ENERGY Corp,,0001127242,2012-11-14
ADRO,Aduro Biotech Inc,549300X0O3003W5QYQ48,0001435049,2018-08-01
ADS,Alliance Data Systems Corp,549300G8S4PO686J7H97,0001101215,2018-08-07
ADSI,"ADS Tactical, Inc.",,0001496129,
ADSK,Autodesk Inc,FRKKVKAIQEF3FCSTPG55,0000769397,2018-08-30
ADSO,"Ads In Motion, Inc.",,0001403243,2011-04-15
ADST,AdStar Inc,,0001091599,2008-05-15
ADSU,ADEN SOLUTIONS INC.,,0001427639,2011-11-14
ADSV,Allied Security Innovations Inc,,0000927454,2010-05-21
ADSW,Advanced Disposal Services Inc,549300ML1GEF4BKIM713,0001585790,2018-08-07
ADSYQ,"Ad Systems Communications, Inc.",,0001452206,2010-11-22
ADT,ADT Inc,5493009JEEDYLVRA0J13,0001546640,2016-06-14
ADT,ADT Inc,,0001703056,2018-08-09
ADTC,Great Tahou Holdings Ltd,,0000909963,
ADTM,Adaptive Medias Inc,,0001428397,2016-05-24
ADTN,ADTRAN Inc,549300XWTHXJVGKWU616,0000926282,2018-08-03
ADTR,Alliance Media Holdings Inc,,0001115463,2007-08-14
ADUS,Addus Homecare Corp,,0001468328,2018-08-07
ADVC,Advant-e Corp,,0000925043,2013-03-28
ADVM,Adverum Biotechnologies Inc,,0001501756,2018-08-08
ADVP,"ADVANCED PIPE FITTING TECHNOLOGIES, INC.",,0001478490,2011-09-21
ADVS,Advent Software Inc ,,0001002225,2015-05-07
ADVT,Advantis Corp,,0000811780,
ADVV,Adveco Group Inc.,,0001698519,2018-08-14
ADX,Adams Diversified Equity Fund,,0000002230,
ADXM,Adex Media Inc,,0001402531,2009-11-13
ADXS,Advaxis Inc,549300W71T0G7C14IM07,0001100397,2018-06-07
ADY,Feihe International Inc,,0000789868,2013-05-15
ADYNF,Algae Dynamics Corp,,0001607679,2018-01-10
ADZ,DB Agriculture Short ETN,,,
ADZCF,DEUTSCHE BANK AKTIENGESEUSCHAFT LONDON BRANCH,,0001167713,
ADZR,ADZONE RESEARCH INC,,0001102013,
AE,Adams Resources & Energy Inc,UP28TXL7K8XSRNNC7V02,0000002178,2018-08-08
AEA,"Advance America, Cash Advance Centers, Inc.",,0001299704,2012-03-15
AEC,Associated Estates Realty Corp ,,0000911635,2015-07-31
AECS,AEC HOLDING CORP,,0001087393,
AEDC,American Energy Development Corp,,0001499735,2013-11-22
AEE,Ameren Corp,XRZQ5S7HYJFPHJ78L959,0001002910,2018-08-08
AEEI,American Environmental Energy Inc,,0000854608,
AEEX,Asia Equity Exchange Group Inc,,0001590565,2018-05-14
